domain,source_value,canonical_key,label_es,label_en
mineral,Abrasive,mineral_abrasive,Abrasivo,Abrasive
mineral,"Aggregate, Light Weight",mineral_aggregate_light_weight,Agregado liviano,"Aggregate, Light Weight"
mineral,Aluminum,mineral_aluminum,Aluminio,Aluminum
mineral,"Aluminum, Contained or Metal",mineral_aluminum_contained_or_metal,"Aluminio, contenido o metal","Aluminum, Contained or Metal"
mineral,"Aluminum, High Alumina Clay",mineral_aluminum_high_alumina_clay,"Aluminio, arcilla alta en alúmina","Aluminum, High Alumina Clay"
mineral,Andalusite,mineral_andalusite,Andalusita,Andalusite
mineral,Anthracite,mineral_anthracite,Antracita,Anthracite
mineral,Antimony,mineral_antimony,Antimonio,Antimony
mineral,Arsenic,mineral_arsenic,Arsénico,Arsenic
mineral,Asbestos,mineral_asbestos,Asbesto,Asbestos
mineral,Ash,mineral_ash,Ceniza,Ash
mineral,Ball Clay,mineral_ball_clay,Arcilla de bola,Ball Clay
mineral,Barium-Barite,mineral_barium_barite,Bario-Barita,Barium-Barite
mineral,Bentonite,mineral_bentonite,Bentonita,Bentonite
mineral,Beryllium,mineral_beryllium,Berilio,Beryllium
mineral,Bismuth,mineral_bismuth,Bismuto,Bismuth
mineral,Bituminous,mineral_bituminous,Bituminoso,Bituminous
mineral,Bloating Material,mineral_bloating_material,Material expansivo,Bloating Material
mineral,Boron-Borates,mineral_boron_borates,Boro-Boratos,Boron-Borates
mineral,Brick Clay,mineral_brick_clay,Arcilla para ladrillo,Brick Clay
mineral,Bromine,mineral_bromine,Bromo,Bromine
mineral,Cadmium,mineral_cadmium,Cadmio,Cadmium
mineral,Calcium,mineral_calcium,Calcio,Calcium
mineral,Carbon Dioxide,mineral_carbon_dioxide,Dióxido de carbono,Carbon Dioxide
mineral,Cement Rock,mineral_cement_rock,Roca para cemento,Cement Rock
mineral,Cerium,mineral_cerium,Cerio,Cerium
mineral,Cesium,mineral_cesium,Cesio,Cesium
mineral,Chlorine,mineral_chlorine,Cloro,Chlorine
mineral,Chlorite,mineral_chlorite,Clorita,Chlorite
mineral,Chromium,mineral_chromium,Cromo,Chromium
mineral,"Chromium, Ferrochrome",mineral_chromium_ferrochrome,"Cromo, ferrocromo","Chromium, Ferrochrome"
mineral,Clay,mineral_clay,Arcilla,Clay
mineral,Coal,mineral_coal,Carbón,Coal
mineral,Cobalt,mineral_cobalt,Cobalto,Cobalt
mineral,Copper,mineral_copper,Cobre,Copper
mineral,Copper Oxide,mineral_copper_oxide,Óxido de cobre,Copper Oxide
mineral,Copper Sulfide,mineral_copper_sulfide,Sulfuro de cobre,Copper Sulfide
mineral,Corundum,mineral_corundum,Corindón,Corundum
mineral,Diamond,mineral_diamond,Diamante,Diamond
mineral,Diatomite,mineral_diatomite,Diatomita,Diatomite
mineral,Dolomite,mineral_dolomite,Dolomita,Dolomite
mineral,Emerald,mineral_emerald,Esmeralda,Emerald
mineral,Emery,mineral_emery,Esmeril,Emery
mineral,Feldspar,mineral_feldspar,Feldespato,Feldspar
mineral,Fire Clay (Refractory),mineral_fire_clay_refractory,Arcilla refractaria,Fire Clay (Refractory)
mineral,Flagstone,mineral_flagstone,Laja,Flagstone
mineral,Flint,mineral_flint,Sílex,Flint
mineral,Fluorine-Fluorite,mineral_fluorine_fluorite,Flúor-Fluorita,Fluorine-Fluorite
mineral,Fullers Earth,mineral_fullers_earth,Tierra de batán,Fullers Earth
mineral,Gallium,mineral_gallium,Galio,Gallium
mineral,Garnet,mineral_garnet,Granate,Garnet
mineral,Gemstone,mineral_gemstone,Gema,Gemstone
mineral,Geothermal,mineral_geothermal,Geotermia,Geothermal
mineral,Germanium,mineral_germanium,Germanio,Germanium
mineral,Gilsonite,mineral_gilsonite,Gilsonita,Gilsonite
mineral,Gold,mineral_gold,Oro,Gold
mineral,"Gold, Refinery",mineral_gold_refinery,"Oro, refinería","Gold, Refinery"
mineral,Granite,mineral_granite,Granito,Granite
mineral,"Granite, Dimension",mineral_granite_dimension,Granito dimensional,"Granite, Dimension"
mineral,Graphite,mineral_graphite,Grafito,Graphite
mineral,Gypsum-Anhydrite,mineral_gypsum_anhydrite,Yeso-Anhidrita,Gypsum-Anhydrite
mineral,"Gypsum-Anhydrite, Alabaster",mineral_gypsum_anhydrite_alabaster,"Yeso-Anhidrita, Alabastro","Gypsum-Anhydrite, Alabaster"
mineral,Hafnium,mineral_hafnium,Hafnio,Hafnium
mineral,Halite,mineral_halite,Halita,Halite
mineral,Hectorite,mineral_hectorite,Hectorita,Hectorite
mineral,Helium,mineral_helium,Helio,Helium
mineral,Indium,mineral_indium,Indio,Indium
mineral,Iodine,mineral_iodine,Yodo,Iodine
mineral,Iridium,mineral_iridium,Iridio,Iridium
mineral,Iron,mineral_iron,Hierro,Iron
mineral,Iron Oxide Pigments,mineral_iron_oxide_pigments,Pigmentos de óxido de hierro,Iron Oxide Pigments
mineral,"Iron, Pig Iron",mineral_iron_pig_iron,"Hierro, arrabio","Iron, Pig Iron"
mineral,Iron-Pyrite,mineral_iron_pyrite,Hierro-Pirita,Iron-Pyrite
mineral,Jade,mineral_jade,Jade,Jade
mineral,Kaolin,mineral_kaolin,Caolín,Kaolin
mineral,Kyanite,mineral_kyanite,Cianita,Kyanite
mineral,Lead,mineral_lead,Plomo,Lead
mineral,"Lead, Refiner",mineral_lead_refiner,"Plomo, refinado","Lead, Refiner"
mineral,"Lead, Smelter",mineral_lead_smelter,"Plomo, fundición","Lead, Smelter"
mineral,Lignite,mineral_lignite,Lignito,Lignite
mineral,"Limestone, Crushed/Broken",mineral_limestone_crushed_broken,Caliza triturada/fracturada,"Limestone, Crushed/Broken"
mineral,"Limestone, Dimension",mineral_limestone_dimension,Caliza dimensional,"Limestone, Dimension"
mineral,"Limestone, General",mineral_limestone_general,"Caliza, general","Limestone, General"
mineral,"Limestone, High Calcium",mineral_limestone_high_calcium,Caliza de alto calcio,"Limestone, High Calcium"
mineral,"Limestone, Ultra Pure",mineral_limestone_ultra_pure,Caliza ultrapura,"Limestone, Ultra Pure"
mineral,Lithium,mineral_lithium,Litio,Lithium
mineral,Magnesite,mineral_magnesite,Magnesita,Magnesite
mineral,Magnesium Compounds,mineral_magnesium_compounds,Compuestos de magnesio,Magnesium Compounds
mineral,Manganese,mineral_manganese,Manganeso,Manganese
mineral,"Manganese, Ferromanganese",mineral_manganese_ferromanganese,"Manganeso, ferromanganeso","Manganese, Ferromanganese"
mineral,"Marble, Dimension",mineral_marble_dimension,Mármol dimensional,"Marble, Dimension"
mineral,Mercury,mineral_mercury,Mercurio,Mercury
mineral,Mica,mineral_mica,Mica,Mica
mineral,Mineral Pigments,mineral_mineral_pigments,Pigmentos minerales,Mineral Pigments
mineral,Molybdenum,mineral_molybdenum,Molibdeno,Molybdenum
mineral,Montmorillonite,mineral_montmorillonite,Montmorillonita,Montmorillonite
mineral,Natural Gas,mineral_natural_gas,Gas natural,Natural Gas
